clpid
Aagard-Brad-Thomas
Aasen-David
Abelson-J-N
Abrol-Ravinder
Abu-Mostafa-Y-S
Acharya-Aneesh
Acikmese-B
Acosta-A-J
Adams-W-S
Adhikari-R-X
Adibi-Ali
Adkins-J-F
Adolphs-R
Adu-Randolph-Ademola
Aflalo-Tyson
Afshari-Ehsan
Agapie-T
Agram-P-S
Agranov-M
Aharonson-O
Ahn-C-C
Ahn-Jun-Myun
Ahrens-T-J
Ai-Daniel-Kwoh-i
Ailianou-Artemis
Albee-A-L
Alberola-Ila-J
Alcock-Charles
Alicea-J
Allen-C-R
Allen-M-A
Allman-J-M
Alsaifi-N-M
Althouse-W-E
Alvarez-R-M
Ambrose-B-E
Ames-A-D
Ames-B-N
Amlani-Faisal
Ampuero-J-P
Amrhein-H
Anandkumar-A
Andersen-R-A
Anderson-C-D
Anderson-C-H
Anderson-D-E
Anderson-D-J
Anderson-D-L
Anderson-E-G
Anderson-H-R
Anderson-K-K
Anderson-R-F
Andino-J-M
Andrade-J-E
Andreae-M-O
Ang-Dang-Dinh
Angeles-Albores-David
Anilkumar-A-V
Ann-Phoebe
An-Qi
Anson-F-C
Anthony-L
Antonsson-E-K
An-Xin
Apostolakis-J
Apostolatos-T-A
Apostol-T-M
Apperson-M-L
Applequist-D-E
Apresyan-A
Arakeri-V-H
Aravin-A-A
Arbabi-Ehsan
Arbocz-J
Archambeau-C-B
Ardalan-K
Ardrey-R
Arenz-R-J
Argyres-P-C
Aria-Adrianus-Indrat
Arienti-Marco
Armstrong-D-L
Armus-L
Arnold-F-H
Aroeste-H
Aroian-R-V
Arp-H-C
Arthur-D
Arvo-J-R
Arya-Manan
Aryanfar-Asghar
Asai-D-J
Aschbacher-M
Ashkenas-H-I
Asimaki-D
Asimow-P-D
Assad-C
Asthagiri-A-R
Atiya-A
Atkinson-J-D
Attardi-G
Atwater-H-A
Auerbach-J-M
Augustine-Vineet
Au-Siu-Kui
Austin-J-M
Avouac-Jean-Philippe
Avouac-J-P
Baade-W
Babcock-C-D
Babcock-H-D
Bacher-A-D
Bacher-R-F
Bachman-Shoshana
Bacon-J
Bader-M
Badger-R-M
Bae-Hyunji-Jane
Baetica-Ania-Ariadna
Baganoff-D
Baggerly-L-L
Bahcall-J-N
Bai-G
Bai-Kangchen
Bailey-J-E
Baird-E-E
Bair-W
Bajaj-Saurabh
Baker-C-V-H
Baker-G-R
Bakke-E
Baldeschwieler-J-D
Baldi-Pierre
Baldwin-J-E
Ball-D
Baltimore-D
Bandić-Z-Z
Bangerter-B-W
Banks-J-S
Banks-P-O
Bao-Jie
Barbastathis-G
Bardeen-J-M
Bardin-R-K
Barish-B-C
Barker-S-J
Barnes-C-A
Barnett-S-J
Barr-A-H
Bartlett-James
Barton-A-F
Barton-J-K
Barzel-R
Bashirullah-A
Baskerville-H-H
Baskes-M-I
Baskin-J-S
Basu-Shabari
Bateman-H
Batygin-K
Baum-C-E
Baumert-L-D
Baum-W-A
Bax-E
Beach-R-A
Beach-W-F
Beadle-G-W
Beal-P-A
Bearer-E-L
Beauchamp-J-L
Beck-C-L
Beck-J-L
Becklin-E-E
Beckman-A-O
Beckwith-S-V-W
Bedoui-F
Behr-B-B
Behrens-W
Beichman-C-A
Beigie-D
Bekiaris-N
Bellan-J
Bellan-P-M
Bell-E-T
Bell-J-M
Bell-R-A
Belz-J-E
Benford-D-J
Benioff-H
Ben-Menahem-A
Bennett-C
Benson-A-J
Benson-C-S
Benson-R-G
Benton-J-F
Benton-W-C
Benzer-S
Benzer-T-I
Bercaw-J-E
Berge-G-L
Berg-H-C
Bergman-K
Bergman-R-G
Berman-S-M
Bernardi-Marco
Bernstein-H
Bernstein-R-A
Berson-O
Bertani-L-E
Best-G-C
Best-J-S
Bethe-H-A
Betts-B-H
Betzig-E
Bhalerao-Varun-B
Bhalla-U-S
Bhatia-P
Bhattacharya-K
Bhattacharyya-A
Bhattacharyya-Pinaky
Bieging-J-H
Biehle-G-T
Biehler-Shawn
Bielak-Jacobo
Bierwagen-E-P
Bilicke-Albert-Constant
Billingsley-G
Billock-J-G
Bills-B-G
Bing-R-J
Bin-Mei
Biot-M-A
Birdwell-C-R
Birman-J-H
Bischoff-Tobias
Biswas-Pratim
Bjorkman-P-J
Blackwell-H-E
Blackwell-V-R
Blain-A-W
Blake-G-A
Blandford-R-D
Blandino-J-J
Blank-Adam
Blank-J-G
Blanquart-G
Blatz-P-J
Blevins-R-D
Blint-R-J
Bloch-R
Bloom-Jesse-D
Blumenthal-D-L
Blum-J-W
Boahen-K-A
Boa-J-A
Bobrowicz-F-W
Boca-Andreea
Bock-J-J
Bockrath-M-W
Boddy-Kimberly-K
Bode-F-D
Boden-Nanette-Jackson
Boehm-F
Boekelheide-Nicholas
Boer-Elizabeth-A
Boesgaard-A-M
Bogen-J-E
Bohn-Florian
Bohn-M-S
Bois-J-S
Bolton-J-G
Bonazza-R
Bond-C-L
Bonnecaze-R-T
Bonner-L-G
Bonsack-W-K
Border-K-C
Bordoni-S
Bornheim-A
Borodin-A
Borsook-H
Bosak-Tanja
Bose-Subhonmesh
Bossaerts-P
Botelho-Dirceu-Luiz-Rodrigues
Bottini-A-T
Bottom-Michael
Bouman-K-L
Bourzutschky-M-S
Bowen-I-S
Bower-J-M
Bowerman-R-D
Bowman-J-D
Bowman-J-L
Bowman-J-M
Bowser-W-M
Bo-Xiangjie
Boylan-R-T
Boynton-Adam-Nathaniel
Braatz-R-D
Brabston-D-C
Bradford-C-M
Bradford-S-C
Brady-A-G
Brady-J-F
Brady-M-A
Braginsky-V-B
Braisted-D-M
Brameld-K-A
Brandão-F-G-S-L
Brandow-C-G
Braunstein-M
Braverman-A
Breckinridge-J-B
Breger-L
Breidenthal-R-E
Bremner-L-R
Brennen-C-E
Brewer-J-C
Brewer-John
Brewer-P-J
Bridge-C-R
Bridger-P-M
Bridges-W-B
Briney-Kristin-A
Brinkmann-R-T
Britten-R-J
Broadwell-J-E
Brock-R-R
Brodsky-E-E
Brody-C-D
Brokaw-C-J
Broman-G-E
Bronner-M-E
Bronstein-J-M
